
# Surface 0 of 2 surfaces

# Curve title: "'FES.dat'  u 1:2:3"
# Contour 0, label:      -36
-2.35948 -2.98191 -34 
-2.36942 -2.97368 -34 
-2.379 -2.96576 -34 
-2.38818 -2.95819 -34 
-2.39701 -2.95094 -34 
-2.40554 -2.94396 -34 
-2.41386 -2.93719 -34 
-2.42202 -2.93058 -34 
-2.43006 -2.92411 -34 
-2.43798 -2.91777 -34 
-2.44575 -2.91158 -34 
-2.45336 -2.90556 -34 
-2.46082 -2.8997 -34 
-2.46817 -2.89399 -34 
-2.47546 -2.88838 -34 
-2.48276 -2.88282 -34 
-2.49014 -2.87726 -34 
-2.49765 -2.87167 -34 
-2.50529 -2.86604 -34 
-2.51305 -2.86038 -34 
-2.52084 -2.85474 -34 
-2.52858 -2.8492 -34 
-2.53617 -2.84381 -34 
-2.54354 -2.83864 -34 
-2.55068 -2.83371 -34 
-2.55763 -2.829 -34 
-2.56448 -2.82445 -34 
-2.57139 -2.82 -34 
-2.5785 -2.81553 -34 
-2.58595 -2.81097 -34 
-2.59382 -2.80627 -34 
-2.60214 -2.80141 -34 
-2.61083 -2.79644 -34 
-2.61977 -2.79141 -34 
-2.62881 -2.78643 -34 
-2.63777 -2.7816 -34 
-2.64652 -2.77699 -34 
-2.65496 -2.77266 -34 
-2.66306 -2.76864 -34 
-2.67088 -2.76492 -34 
-2.67852 -2.76146 -34 
-2.68614 -2.75822 -34 
-2.69392 -2.75513 -34 
-2.70204 -2.75214 -34 
-2.71064 -2.74922 -34 
-2.71984 -2.74636 -34 
-2.72969 -2.74356 -34 
-2.7402 -2.74087 -34 
-2.75133 -2.73834 -34 
-2.763 -2.73605 -34 
-2.77516 -2.73406 -34 
-2.78772 -2.73246 -34 
-2.80062 -2.73131 -34 
-2.81383 -2.73067 -34 
-2.82729 -2.73059 -34 
-2.84097 -2.7311 -34 
-2.85479 -2.73221 -34 
-2.86866 -2.73391 -34 
-2.88245 -2.73616 -34 
-2.89601 -2.73894 -34 
-2.9092 -2.74217 -34 
-2.9219 -2.74584 -34 
-2.9341 -2.74995 -34 
-2.94593 -2.75458 -34 
-2.95761 -2.75985 -34 
-2.9695 -2.76597 -34 
-2.98198 -2.77317 -34 
-2.99536 -2.78166 -34 
-3.00978 -2.79158 -34 
-3.02519 -2.80296 -34 
-3.04142 -2.81587 -34 
-3.05862 -2.83074 -34 
-3.07795 -2.84925 -34 
-3.10295 -2.87606 -34 
-3.14159 -2.922 -34 

-2.16421  2.14261 -34 
-2.1769  2.14257 -34 
-2.18959  2.14247 -34 
-2.20229  2.14232 -34 
-2.21498  2.14214 -34 
-2.22767  2.14193 -34 
-2.24037  2.14172 -34 
-2.25306  2.1415 -34 
-2.26575  2.14129 -34 
-2.27845  2.14109 -34 
-2.29114  2.14092 -34 
-2.30383  2.14077 -34 
-2.31653  2.14066 -34 
-2.32922  2.14059 -34 
-2.34191  2.14057 -34 
-2.35461  2.1406 -34 
-2.3673  2.14068 -34 
-2.37999  2.14083 -34 
-2.39269  2.14103 -34 
-2.40538  2.14131 -34 
-2.41807  2.14165 -34 
-2.43077  2.14207 -34 
-2.44346  2.14257 -34 
-2.45615  2.14315 -34 
-2.46885  2.14382 -34 
-2.48154  2.14458 -34 
-2.49423  2.14543 -34 
-2.50693  2.14638 -34 
-2.51962  2.14744 -34 
-2.53231  2.14861 -34 
-2.545  2.14989 -34 
-2.55769  2.15129 -34 
-2.57038  2.15281 -34 
-2.58304  2.15447 -34 
-2.59569  2.15625 -34 
-2.60829  2.15818 -34 
-2.62082  2.16023 -34 
-2.63323  2.16241 -34 
-2.64549  2.16472 -34 
-2.65752  2.16712 -34 
-2.66924  2.1696 -34 
-2.68057  2.17214 -34 
-2.69143  2.1747 -34 
-2.70173  2.17724 -34 
-2.71142  2.17976 -34 
-2.72049  2.18222 -34 
-2.72897  2.18464 -34 
-2.73695  2.18705 -34 
-2.74457  2.18949 -34 
-2.75201  2.19202 -34 
-2.75949  2.19473 -34 
-2.76719  2.19769 -34 
-2.77529  2.20097 -34 
-2.78388  2.2046 -34 
-2.79298  2.2086 -34 
-2.80252  2.21293 -34 
-2.81236  2.21754 -34 
-2.82232  2.22232 -34 
-2.83218  2.22719 -34 
-2.84174  2.23203 -34 
-2.85084  2.23679 -34 
-2.85942  2.24143 -34 
-2.86748  2.24596 -34 
-2.8751  2.25044 -34 
-2.88244  2.25497 -34 
-2.88968  2.25966 -34 
-2.89698  2.26462 -34 
-2.90448  2.26992 -34 
-2.91226  2.27559 -34 
-2.92031  2.28163 -34 
-2.9286  2.28804 -34 
-2.93708  2.29478 -34 
-2.94572  2.30185 -34 
-2.95451  2.30929 -34 
-2.96347  2.31713 -34 
-2.97263  2.32542 -34 
-2.98203  2.33421 -34 
-2.99168  2.34356 -34 
-3.00165  2.35355 -34 
-3.01204  2.36436 -34 
-3.023  2.37622 -34 
-3.03469  2.38935 -34 
-3.04707  2.40369 -34 
-3.05987  2.419 -34 
-3.07303  2.43544 -34 
-3.0882  2.45577 -34 
-3.11021  2.48723 -34 
-3.14159  2.53404 -34 

-1.75247  1.41944 -34 
-1.75105  1.42913 -34 
-1.74967  1.43826 -34 
-1.74836  1.44687 -34 
-1.74709  1.45504 -34 
-1.74584  1.46292 -34 
-1.7446  1.47065 -34 
-1.74335  1.47842 -34 
-1.74205  1.48641 -34 
-1.74068  1.49476 -34 
-1.73923  1.50362 -34 
-1.7377  1.51307 -34 
-1.73607  1.52312 -34 
-1.73436  1.53377 -34 
-1.73259  1.54496 -34 
-1.73078  1.55659 -34 
-1.72895  1.56859 -34 
-1.72712  1.58084 -34 
-1.72532  1.59328 -34 
-1.72357  1.60583 -34 
-1.72189  1.61845 -34 
-1.72028  1.63111 -34 
-1.71877  1.64379 -34 
-1.71737  1.65648 -34 
-1.71609  1.66917 -34 
-1.71495  1.68186 -34 
-1.71395  1.69456 -34 
-1.71312  1.70725 -34 
-1.71246  1.71994 -34 
-1.712  1.73264 -34 
-1.71174  1.74533 -34 
-1.71171  1.75802 -34 
-1.71191  1.77071 -34 
-1.71237  1.7834 -34 
-1.7131  1.79608 -34 
-1.7141  1.80873 -34 
-1.7154  1.82133 -34 
-1.71697  1.83384 -34 
-1.71881  1.8462 -34 
-1.72091  1.85834 -34 
-1.72321  1.87014 -34 
-1.72568  1.8815 -34 
-1.72827  1.89232 -34 
-1.73095  1.90249 -34 
-1.73367  1.91198 -34 
-1.73645  1.92078 -34 
-1.7393  1.92897 -34 
-1.74226  1.93666 -34 
-1.7454  1.94402 -34 
-1.74878  1.95124 -34 
-1.75248  1.95846 -34 
-1.75655  1.96583 -34 
-1.761  1.97342 -34 
-1.76584  1.98122 -34 
-1.77104  1.9892 -34 
-1.77654  1.99725 -34 
-1.78226  2.00526 -34 
-1.78815  2.0131 -34 
-1.79413  2.02067 -34 
-1.80017  2.0279 -34 
-1.80624  2.03474 -34 
-1.81235  2.04119 -34 
-1.81854  2.04729 -34 
-1.82489  2.05309 -34 
-1.83147  2.05866 -34 
-1.83836  2.06408 -34 
-1.84565  2.06941 -34 
-1.85339  2.07468 -34 
-1.8616  2.0799 -34 
-1.87027  2.08506 -34 
-1.87932  2.09013 -34 
-1.88865  2.09505 -34 
-1.89812  2.09975 -34 
-1.90759  2.10418 -34 
-1.9169  2.10828 -34 
-1.92596  2.112 -34 
-1.93468  2.11535 -34 
-1.94304  2.11832 -34 
-1.9511  2.12095 -34 
-1.95893  2.12327 -34 
-1.96668  2.12535 -34 
-1.97448  2.12723 -34 
-1.9825  2.12896 -34 
-1.99087  2.13057 -34 
-1.99971  2.1321 -34 
-2.00909  2.13354 -34 
-2.01905  2.13491 -34 
-2.02956  2.1362 -34 
-2.0406  2.13739 -34 
-2.05209  2.13846 -34 
-2.06395  2.13942 -34 
-2.0761  2.14025 -34 
-2.08845  2.14095 -34 
-2.10095  2.14152 -34 
-2.11353  2.14195 -34 
-2.12617  2.14227 -34 
-2.13884  2.14248 -34 
-2.15152  2.14259 -34 
-2.16421  2.14261 -34 

-1.62321  0.335093 -34 
-1.62666  0.343165 -34 
-1.63018  0.35163 -34 
-1.63381  0.360587 -34 
-1.63757  0.370081 -34 
-1.64145  0.380099 -34 
-1.64543  0.390562 -34 
-1.64945  0.401339 -34 
-1.65345  0.412256 -34 
-1.65737  0.423122 -34 
-1.66114  0.433747 -34 
-1.66469  0.443968 -34 
-1.668  0.45367 -34 
-1.67105  0.462801 -34 
-1.67385  0.47138 -34 
-1.67642  0.479494 -34 
-1.67881  0.487283 -34 
-1.68108  0.494927 -34 
-1.68329  0.502617 -34 
-1.6855  0.510536 -34 
-1.68774  0.518838 -34 
-1.69005  0.527636 -34 
-1.69245  0.536994 -34 
-1.69494  0.546934 -34 
-1.6975  0.557436 -34 
-1.70014  0.568448 -34 
-1.70281  0.579902 -34 
-1.70551  0.591718 -34 
-1.7082  0.603819 -34 
-1.71088  0.616129 -34 
-1.71352  0.628587 -34 
-1.71611  0.641139 -34 
-1.71865  0.653741 -34 
-1.72114  0.666355 -34 
-1.72355  0.678938 -34 
-1.7259  0.69144 -34 
-1.72817  0.703794 -34 
-1.73035  0.715917 -34 
-1.73244  0.727704 -34 
-1.73441  0.739043 -34 
-1.73625  0.749823 -34 
-1.73796  0.759957 -34 
-1.73952  0.769401 -34 
-1.74095  0.778168 -34 
-1.74226  0.786337 -34 
-1.74348  0.794055 -34 
-1.74463  0.801516 -34 
-1.74575  0.808944 -34 
-1.74688  0.816559 -34 
-1.74804  0.824554 -34 
-1.74925  0.833073 -34 
-1.75053  0.842204 -34 
-1.75187  0.851971 -34 
-1.75327  0.862352 -34 
-1.75472  0.873285 -34 
-1.75619  0.884687 -34 
-1.75767  0.89647 -34 
-1.75915  0.908544 -34 
-1.7606  0.920834 -34 
-1.76202  0.933276 -34 
-1.76339  0.94582 -34 
-1.76472  0.958428 -34 
-1.76598  0.971077 -34 
-1.76717  0.983748 -34 
-1.7683  0.996431 -34 
-1.76935  1.00912 -34 
-1.77032  1.02181 -34 
-1.7712  1.0345 -34 
-1.772  1.0472 -34 
-1.77272  1.05989 -34 
-1.77334  1.07258 -34 
-1.77387  1.08528 -34 
-1.7743  1.09797 -34 
-1.77463  1.11066 -34 
-1.77486  1.12336 -34 
-1.77499  1.13605 -34 
-1.77501  1.14874 -34 
-1.77493  1.16144 -34 
-1.77474  1.17413 -34 
-1.77445  1.18682 -34 
-1.77405  1.19952 -34 
-1.77355  1.21221 -34 
-1.77294  1.2249 -34 
-1.77223  1.2376 -34 
-1.77141  1.25029 -34 
-1.7705  1.26298 -34 
-1.76949  1.27567 -34 
-1.76839  1.28836 -34 
-1.76719  1.30103 -34 
-1.76591  1.31368 -34 
-1.76456  1.32628 -34 
-1.76313  1.33881 -34 
-1.76165  1.35123 -34 
-1.76013  1.36346 -34 
-1.75858  1.37546 -34 
-1.75702  1.38713 -34 
-1.75547  1.39839 -34 
-1.75395  1.40918 -34 
-1.75247  1.41944 -34 

-1.0144  0.172171 -34 
-1.0173  0.160074 -34 
-1.02032  0.148285 -34 
-1.02342  0.136892 -34 
-1.0266  0.125979 -34 
-1.02981  0.115612 -34 
-1.03306  0.105831 -34 
-1.03635  0.0966381 -34 
-1.03971  0.0879972 -34 
-1.04317  0.0798345 -34 
-1.04679  0.072047 -34 
-1.05064  0.0645155 -34 
-1.05477  0.057121 -34 
-1.05924  0.0497615 -34 
-1.06407  0.042367 -34 
-1.06928  0.03491 -34 
-1.07483  0.02741 -34 
-1.08068  0.0199306 -34 
-1.08676  0.0125681 -34 
-1.09298  0.00543566 -34 
-1.09929 -0.0013568 -34 
-1.10563 -0.0077206 -34 
-1.112 -0.0136016 -34 
-1.11842 -0.0189852 -34 
-1.12497 -0.0238927 -34 
-1.13172 -0.0283694 -34 
-1.1388 -0.032469 -34 
-1.1463 -0.0362373 -34 
-1.15431 -0.0396999 -34 
-1.1629 -0.0428557 -34 
-1.1721 -0.0456772 -34 
-1.1819 -0.0481177 -34 
-1.19225 -0.0501202 -34 
-1.20307 -0.0516298 -34 
-1.21424 -0.052603 -34 
-1.22562 -0.0530156 -34 
-1.23707 -0.0528661 -34 
-1.24842 -0.0521762 -34 
-1.25951 -0.050987 -34 
-1.27022 -0.049353 -34 
-1.28043 -0.0473345 -34 
-1.29009 -0.0449891 -34 
-1.29919 -0.0423635 -34 
-1.30777 -0.0394875 -34 
-1.3159 -0.0363705 -34 
-1.32371 -0.0330018 -34 
-1.33133 -0.0293547 -34 
-1.33889 -0.025395 -34 
-1.3465 -0.0210925 -34 
-1.35422 -0.016433 -34 
-1.36207 -0.0114292 -34 
-1.37003 -0.00612538 -34 
-1.37799 -0.000595285 -34 
-1.38586  0.0050692 -34 
-1.39352  0.0107762 -34 
-1.40087  0.0164546 -34 
-1.40787  0.0220722 -34 
-1.41452  0.0276437 -34 
-1.42088  0.0332274 -34 
-1.42705  0.0389079 -34 
-1.43313  0.0447712 -34 
-1.43921  0.0508785 -34 
-1.44535  0.0572471 -34 
-1.45154  0.0638446 -34 
-1.45774  0.0705995 -34 
-1.46388  0.0774227 -34 
-1.46989  0.084236 -34 
-1.47571  0.0909957 -34 
-1.48134  0.0977067 -34 
-1.48681  0.10442 -34 
-1.49218  0.111219 -34 
-1.49752  0.118193 -34 
-1.50289  0.125414 -34 
-1.50833  0.132912 -34 
-1.51385  0.140673 -34 
-1.5194  0.148632 -34 
-1.52495  0.156695 -34 
-1.5304  0.164755 -34 
-1.53571  0.172714 -34 
-1.54081  0.180509 -34 
-1.5457  0.188121 -34 
-1.55038  0.195581 -34 
-1.5549  0.202968 -34 
-1.55933  0.210389 -34 
-1.56372  0.217964 -34 
-1.56816  0.225796 -34 
-1.57267  0.233952 -34 
-1.57729  0.242445 -34 
-1.58199  0.251232 -34 
-1.58674  0.260217 -34 
-1.59145  0.269272 -34 
-1.59608  0.27826 -34 
-1.60054  0.28706 -34 
-1.60479  0.295589 -34 
-1.60882  0.303819 -34 
-1.61264  0.311779 -34 
-1.61627  0.319555 -34 
-1.61977  0.327275 -34 
-1.62321  0.335093 -34 

-1.03896  1.40788 -34 
-1.03742  1.39743 -34 
-1.03587  1.38645 -34 
-1.03431  1.37501 -34 
-1.03276  1.36318 -34 
-1.03124  1.35106 -34 
-1.02976  1.33872 -34 
-1.02834  1.32624 -34 
-1.02698  1.31366 -34 
-1.02569  1.30102 -34 
-1.02448  1.28835 -34 
-1.02334  1.27567 -34 
-1.02228  1.26298 -34 
-1.0213  1.25029 -34 
-1.02038  1.2376 -34 
-1.01954  1.2249 -34 
-1.01877  1.21221 -34 
-1.01806  1.19952 -34 
-1.01741  1.18682 -34 
-1.01682  1.17413 -34 
-1.01629  1.16144 -34 
-1.01581  1.14874 -34 
-1.01537  1.13605 -34 
-1.01498  1.12336 -34 
-1.01463  1.11066 -34 
-1.01431  1.09797 -34 
-1.01402  1.08528 -34 
-1.01377  1.07258 -34 
-1.01353  1.05989 -34 
-1.01331  1.0472 -34 
-1.01311  1.0345 -34 
-1.01292  1.02181 -34 
-1.01274  1.00912 -34 
-1.01256  0.996424 -34 
-1.01239  0.983731 -34 
-1.01221  0.971038 -34 
-1.01202  0.958344 -34 
-1.01182  0.945651 -34 
-1.01161  0.932958 -34 
-1.01139  0.920265 -34 
-1.01115  0.907571 -34 
-1.01089  0.894878 -34 
-1.0106  0.882185 -34 
-1.0103  0.869491 -34 
-1.00997  0.856798 -34 
-1.00961  0.844105 -34 
-1.00923  0.831411 -34 
-1.00882  0.818718 -34 
-1.00838  0.806025 -34 
-1.00791  0.793331 -34 
-1.00741  0.780638 -34 
-1.00689  0.767945 -34 
-1.00634  0.755252 -34 
-1.00576  0.742558 -34 
-1.00517  0.729865 -34 
-1.00454  0.717172 -34 
-1.0039  0.704478 -34 
-1.00324  0.691785 -34 
-1.00257  0.679092 -34 
-1.00188  0.666398 -34 
-1.00118  0.653705 -34 
-1.00047  0.641012 -34 
-0.99976  0.628319 -34 
-0.99905  0.615625 -34 
-0.998343  0.602932 -34 
